file,avg_fps,min_fps,max_fps,avg_render_ms,avg_texture_gen_ms,avg_chunk_gen_ms,total_textures_generated,total_chunks_generated,folder,config_type
run-02.csv,118.02083333333333,106.0,120.0,34.63777777777778,,0.042857142857142864,0.0,7.0,checkpoint-03-baseline-10runs,baseline
run-03.csv,118.55445544554455,107.0,120.0,36.24,,0.05,0.0,4.0,checkpoint-03-baseline-10runs,baseline
run-04.csv,118.69072164948453,114.0,120.0,38.40681818181818,,0.04,0.0,5.0,checkpoint-03-baseline-10runs,baseline
run-05.csv,117.84693877551021,107.0,120.0,31.788888888888888,,0.05,0.0,10.0,checkpoint-03-baseline-10runs,baseline
run-06.csv,117.72,113.0,120.0,31.191111111111113,,0.06666666666666667,0.0,3.0,checkpoint-03-baseline-10runs,baseline
run-07.csv,118.36734693877551,108.0,120.0,35.69777777777778,,0.05000000000000001,0.0,12.0,checkpoint-03-baseline-10runs,baseline
run-08.csv,118.66315789473684,112.0,120.0,35.71333333333333,,0.05000000000000001,0.0,6.0,checkpoint-03-baseline-10runs,baseline
run-09.csv,118.48,107.0,120.0,34.51777777777777,,0.04615384615384616,0.0,13.0,checkpoint-03-baseline-10runs,baseline
run-10.csv,118.66346153846153,114.0,120.0,36.284444444444446,,0.042857142857142864,0.0,7.0,checkpoint-03-baseline-10runs,baseline
run-01.csv,119.45454545454545,118.0,120.0,22.875,,0.045454545454545456,0.0,11.0,checkpoint-03-vd-1-10runs,vd-1
run-02.csv,119.43373493975903,118.0,120.0,23.29318181818182,,0.04666666666666667,0.0,15.0,checkpoint-03-vd-1-10runs,vd-1
run-03.csv,116.46153846153847,102.0,120.0,25.179069767441863,,0.05454545454545456,0.0,11.0,checkpoint-03-vd-1-10runs,vd-1
run-04.csv,104.4368932038835,99.0,117.0,27.225,,0.05000000000000001,0.0,12.0,checkpoint-03-vd-1-10runs,vd-1
run-05.csv,104.51546391752578,99.0,116.0,27.34090909090909,,0.044444444444444446,0.0,9.0,checkpoint-03-vd-1-10runs,vd-1
run-06.csv,103.31683168316832,99.0,108.0,28.30444444444444,,0.05555555555555555,0.0,9.0,checkpoint-03-vd-1-10runs,vd-1
run-07.csv,105.94059405940594,96.0,120.0,27.531818181818185,,0.045454545454545456,0.0,11.0,checkpoint-03-vd-1-10runs,vd-1
run-08.csv,110.27083333333333,99.0,120.0,27.97555555555556,,0.042857142857142864,0.0,7.0,checkpoint-03-vd-1-10runs,vd-1
run-09.csv,103.01941747572816,99.0,107.0,28.624444444444443,,0.04,0.0,5.0,checkpoint-03-vd-1-10runs,vd-1
run-10.csv,104.8,100.0,117.0,27.17333333333334,,0.04,0.0,5.0,checkpoint-03-vd-1-10runs,vd-1
