# base_algorithm,wood
# population_size,25
# initial_mutation_rate,0.2
# max_iterations,300
# output_size,128
# generations_completed,300
# total_evaluations,7500
# runtime_s,231.473
# final_best_fitness,0.912175
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
111,2775,85754.00,85.7540,0.912080,0.912080,0.890654,0.858358,0.014441,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
112,2800,86521.00,86.5210,0.912080,0.912080,0.894318,0.864821,0.011456,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
113,2825,87289.00,87.2890,0.912080,0.912080,0.895824,0.869236,0.011207,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
114,2850,88058.00,88.0580,0.912080,0.912080,0.899673,0.879823,0.008222,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
115,2875,88826.00,88.8260,0.912080,0.912080,0.898908,0.866082,0.009236,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
116,2900,89591.00,89.5910,0.912080,0.912080,0.896216,0.876974,0.011174,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
117,2925,90359.00,90.3590,0.912080,0.912080,0.894411,0.864028,0.010828,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
118,2950,91124.00,91.1240,0.912080,0.912080,0.891203,0.861063,0.014843,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
119,2975,91900.00,91.9000,0.912080,0.912080,0.892326,0.852077,0.015443,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
120,3000,92673.00,92.6730,0.912080,0.912080,0.897391,0.873982,0.008771,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
121,3025,93441.00,93.4410,0.912080,0.912080,0.895421,0.855671,0.012513,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
122,3050,94214.00,94.2140,0.912080,0.912080,0.893401,0.867453,0.013905,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
123,3075,94976.00,94.9760,0.912080,0.912080,0.894654,0.872116,0.011533,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
124,3100,95758.00,95.7580,0.912080,0.912080,0.889298,0.834153,0.016817,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
125,3125,96526.00,96.5260,0.912080,0.912080,0.893385,0.857239,0.014226,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
126,3150,97298.00,97.2980,0.912080,0.912080,0.891339,0.868327,0.012373,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
127,3175,98071.00,98.0710,0.912080,0.912080,0.893914,0.875917,0.009281,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
128,3200,98831.00,98.8310,0.912080,0.912080,0.894988,0.865740,0.010535,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
129,3225,99593.00,99.5930,0.912080,0.912080,0.896713,0.871454,0.010159,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
130,3250,100355.00,100.3550,0.912080,0.912080,0.895447,0.865834,0.010928,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
131,3275,101115.00,101.1150,0.912080,0.912080,0.888565,0.841665,0.017368,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
132,3300,101879.00,101.8790,0.912080,0.912080,0.896707,0.886990,0.006808,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
133,3325,102655.00,102.6550,0.912080,0.912080,0.895721,0.868472,0.011128,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
134,3350,103432.00,103.4320,0.912080,0.912080,0.889362,0.837431,0.018436,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
135,3375,104226.00,104.2260,0.912080,0.912080,0.897019,0.873433,0.009917,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
136,3400,104979.00,104.9790,0.912080,0.912080,0.895615,0.858397,0.012981,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
137,3425,105745.00,105.7450,0.912080,0.912080,0.894304,0.864233,0.012085,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
138,3450,106511.00,106.5110,0.912080,0.912080,0.891979,0.862799,0.013449,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
