# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.35
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.866
# final_best_fitness,0.912050
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
85,1275,40597.00,40.5970,0.910155,0.910155,0.900564,0.883209,0.007758,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
86,1290,41071.00,41.0710,0.910155,0.910155,0.899651,0.872617,0.009775,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
87,1305,41556.00,41.5560,0.910155,0.910155,0.896310,0.860467,0.014202,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
88,1320,42032.00,42.0320,0.910155,0.910155,0.903922,0.888169,0.007052,0.350000,0.961436,0.997362,0.998393,0.729736,0.806335
89,1335,42507.00,42.5070,0.911120,0.911120,0.904839,0.895214,0.005373,0.350000,0.961376,0.997360,0.998031,0.735291,0.806274
90,1350,42975.00,42.9750,0.911574,0.911574,0.900583,0.878370,0.009547,0.350000,0.959691,0.997388,0.998155,0.738586,0.806274
91,1365,43451.00,43.4510,0.911574,0.911574,0.902747,0.875142,0.009050,0.350000,0.959691,0.997388,0.998155,0.738586,0.806274
92,1380,43924.00,43.9240,0.911574,0.911574,0.898396,0.871350,0.011128,0.350000,0.959691,0.997388,0.998155,0.738586,0.806274
93,1395,44399.00,44.3990,0.911574,0.911574,0.901342,0.880121,0.009657,0.350000,0.959691,0.997388,0.998155,0.738586,0.806274
94,1410,44868.00,44.8680,0.911574,0.911574,0.900476,0.877062,0.010022,0.350000,0.959691,0.997388,0.998155,0.738586,0.806274
95,1425,45366.00,45.3660,0.911574,0.911574,0.901182,0.888523,0.008057,0.350000,0.959691,0.997388,0.998155,0.738586,0.806274
