# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.05
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.024
# final_best_fitness,0.913545
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
50,750,23624.00,23.6240,0.872773,0.872773,0.869147,0.849242,0.007627,0.050000,0.964308,0.996271,0.999894,0.539917,0.804932
51,765,24087.00,24.0870,0.872773,0.872773,0.872521,0.868990,0.000944,0.050000,0.964308,0.996271,0.999894,0.539917,0.804932
52,780,24546.00,24.5460,0.872773,0.872773,0.872556,0.871351,0.000451,0.050000,0.964308,0.996271,0.999894,0.539917,0.804932
53,795,25034.00,25.0340,0.873012,0.873012,0.870603,0.848847,0.005958,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
54,810,25506.00,25.5060,0.873012,0.873012,0.872289,0.867458,0.001400,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
55,825,25974.00,25.9740,0.873012,0.873012,0.872670,0.870540,0.000729,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
56,840,26446.00,26.4460,0.873012,0.873012,0.871994,0.868378,0.001520,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
57,855,26909.00,26.9090,0.873012,0.873012,0.871209,0.857470,0.004008,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
58,870,27383.00,27.3830,0.873012,0.873012,0.871846,0.865491,0.002161,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
59,885,27851.00,27.8510,0.873012,0.873012,0.871927,0.859984,0.003230,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
60,900,28311.00,28.3110,0.873012,0.873012,0.872193,0.866686,0.001776,0.050000,0.965075,0.996281,0.999895,0.540527,0.804932
61,915,28772.00,28.7720,0.873105,0.873105,0.871159,0.849834,0.005746,0.050000,0.965202,0.996290,0.998883,0.542664,0.804932
62,930,29243.00,29.2430,0.873115,0.873115,0.872032,0.866262,0.001953,0.050000,0.965136,0.996282,0.999953,0.540894,0.804932
63,945,29725.00,29.7250,0.873428,0.873428,0.870730,0.851525,0.005587,0.050000,0.965203,0.996291,0.999805,0.542664,0.804932
64,960,30193.00,30.1930,0.873478,0.873478,0.872216,0.865751,0.002481,0.050000,0.965178,0.996289,0.999853,0.542847,0.804932
65,975,30656.00,30.6560,0.873509,0.873509,0.872247,0.864001,0.002804,0.050000,0.965184,0.996290,0.999975,0.542786,0.804932
66,990,31126.00,31.1260,0.873509,0.873509,0.872923,0.870955,0.000820,0.050000,0.965184,0.996290,0.999975,0.542786,0.804932
67,1005,31601.00,31.6010,0.873509,0.873509,0.872819,0.867505,0.001570,0.050000,0.965184,0.996290,0.999975,0.542786,0.804932
68,1020,32067.00,32.0670,0.873511,0.873511,0.871692,0.861830,0.003563,0.050000,0.965181,0.996289,0.999982,0.542786,0.804932
69,1035,32532.00,32.5320,0.873511,0.873511,0.868101,0.850910,0.007688,0.050000,0.965181,0.996289,0.999982,0.542786,0.804932
70,1050,33015.00,33.0150,0.873511,0.873511,0.871270,0.853147,0.004994,0.050000,0.965181,0.996289,0.999982,0.542786,0.804932
71,1065,33481.00,33.4810,0.873512,0.873512,0.870026,0.851764,0.007046,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
72,1080,33949.00,33.9490,0.873512,0.873512,0.872763,0.868782,0.001299,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
73,1095,34417.00,34.4170,0.873512,0.873512,0.871898,0.856561,0.004206,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
74,1110,34883.00,34.8830,0.873512,0.873512,0.871437,0.853633,0.004936,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
75,1125,35344.00,35.3440,0.873512,0.873512,0.871607,0.854836,0.004639,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
