# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,72.255
# final_best_fitness,0.865452
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
81,1215,38458.00,38.4580,0.865452,0.865452,0.841792,0.785875,0.019853,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
82,1230,38934.00,38.9340,0.865452,0.865452,0.846795,0.810626,0.018087,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
83,1245,39415.00,39.4150,0.865452,0.865452,0.849005,0.807103,0.016351,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
84,1260,39889.00,39.8890,0.865452,0.865452,0.836344,0.747487,0.034027,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
85,1275,40363.00,40.3630,0.865452,0.865452,0.850713,0.803579,0.016048,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
86,1290,40835.00,40.8350,0.865452,0.865452,0.843157,0.783106,0.020641,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
87,1305,41324.00,41.3240,0.865452,0.865452,0.850761,0.824474,0.013174,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
88,1320,41798.00,41.7980,0.865452,0.865452,0.848601,0.783352,0.019526,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
89,1335,42274.00,42.2740,0.865452,0.865452,0.846820,0.793043,0.019656,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
90,1350,42748.00,42.7480,0.865452,0.865452,0.834239,0.764172,0.027809,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
91,1365,43220.00,43.2200,0.865452,0.865452,0.838786,0.779253,0.026457,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
92,1380,43694.00,43.6940,0.865452,0.865452,0.840408,0.771655,0.027884,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
93,1395,44169.00,44.1690,0.865452,0.865452,0.844867,0.770209,0.024627,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
94,1410,44659.00,44.6590,0.865452,0.865452,0.848994,0.815504,0.014269,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
95,1425,45133.00,45.1330,0.865452,0.865452,0.853713,0.834611,0.010505,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
96,1440,45610.00,45.6100,0.865452,0.865452,0.842492,0.784917,0.025240,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
97,1455,46080.00,46.0800,0.865452,0.865452,0.851943,0.822955,0.013077,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
98,1470,46553.00,46.5530,0.865452,0.865452,0.843572,0.795355,0.018768,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
99,1485,47022.00,47.0220,0.865452,0.865452,0.853763,0.814502,0.013929,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
100,1500,47488.00,47.4880,0.865452,0.865452,0.854225,0.820229,0.012098,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
101,1515,47960.00,47.9600,0.865452,0.865452,0.854545,0.837262,0.010138,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
102,1530,48429.00,48.4290,0.865452,0.865452,0.844248,0.798892,0.016707,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
103,1545,48901.00,48.9010,0.865452,0.865452,0.838856,0.755567,0.030289,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
104,1560,49373.00,49.3730,0.865452,0.865452,0.845984,0.793964,0.019950,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
105,1575,49841.00,49.8410,0.865452,0.865452,0.847649,0.787365,0.018835,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
106,1590,50311.00,50.3110,0.865452,0.865452,0.843054,0.785591,0.019967,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
107,1605,50793.00,50.7930,0.865452,0.865452,0.848151,0.829411,0.011670,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
108,1620,51268.00,51.2680,0.865452,0.865452,0.850555,0.825206,0.011159,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
109,1635,51746.00,51.7460,0.865452,0.865452,0.848785,0.814489,0.014298,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
110,1650,52219.00,52.2190,0.865452,0.865452,0.837360,0.757201,0.026884,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
111,1665,52703.00,52.7030,0.865452,0.865452,0.849764,0.817856,0.014482,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
112,1680,53189.00,53.1890,0.865452,0.865452,0.847428,0.775064,0.023156,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
113,1695,53657.00,53.6570,0.865452,0.865452,0.845295,0.785343,0.023945,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
114,1710,54147.00,54.1470,0.865452,0.865452,0.842124,0.806284,0.017864,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
115,1725,54622.00,54.6220,0.865452,0.865452,0.846050,0.806289,0.015306,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
116,1740,55127.00,55.1270,0.865452,0.865452,0.850852,0.796388,0.016421,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
117,1755,55631.00,55.6310,0.865452,0.865452,0.846739,0.794263,0.017883,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
118,1770,56146.00,56.1460,0.865452,0.865452,0.843874,0.768225,0.027110,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
119,1785,56610.00,56.6100,0.865452,0.865452,0.831606,0.771878,0.033963,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
120,1800,57100.00,57.1000,0.865452,0.865452,0.845734,0.778291,0.020046,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
121,1815,57587.00,57.5870,0.865452,0.865452,0.843864,0.797840,0.020625,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
122,1830,58058.00,58.0580,0.865452,0.865452,0.836901,0.773843,0.030245,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
123,1845,58523.00,58.5230,0.865452,0.865452,0.845029,0.786517,0.024155,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
124,1860,59027.00,59.0270,0.865452,0.865452,0.854875,0.836926,0.009078,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
125,1875,59521.00,59.5210,0.865452,0.865452,0.840439,0.755472,0.028809,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
126,1890,60028.00,60.0280,0.865452,0.865452,0.844178,0.778775,0.027192,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
127,1905,60549.00,60.5490,0.865452,0.865452,0.844678,0.782611,0.019587,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
128,1920,61221.00,61.2210,0.865452,0.865452,0.837239,0.783191,0.026391,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
129,1935,61724.00,61.7240,0.865452,0.865452,0.842567,0.733252,0.030781,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
130,1950,62205.00,62.2050,0.865452,0.865452,0.845405,0.824878,0.012038,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
131,1965,62845.00,62.8450,0.865452,0.865452,0.847824,0.775134,0.024961,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
132,1980,63543.00,63.5430,0.865452,0.865452,0.849716,0.801498,0.019329,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
133,1995,64037.00,64.0370,0.865452,0.865452,0.846442,0.806973,0.016824,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
134,2010,64533.00,64.5330,0.865452,0.865452,0.852385,0.830774,0.009714,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
135,2025,65018.00,65.0180,0.865452,0.865452,0.844349,0.763582,0.024046,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
136,2040,65493.00,65.4930,0.865452,0.865452,0.842266,0.793915,0.023243,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
137,2055,65969.00,65.9690,0.865452,0.865452,0.847183,0.790547,0.018316,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
138,2070,66448.00,66.4480,0.865452,0.865452,0.843790,0.771494,0.023554,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
139,2085,66921.00,66.9210,0.865452,0.865452,0.850089,0.825346,0.012052,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
140,2100,67393.00,67.3930,0.865452,0.865452,0.846237,0.805400,0.019449,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
141,2115,67866.00,67.8660,0.865452,0.865452,0.845369,0.776861,0.021265,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
142,2130,68344.00,68.3440,0.865452,0.865452,0.840989,0.774264,0.026664,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
143,2145,68821.00,68.8210,0.865452,0.865452,0.853327,0.831142,0.011638,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
144,2160,69288.00,69.2880,0.865452,0.865452,0.848276,0.800956,0.016122,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
145,2175,69768.00,69.7680,0.865452,0.865452,0.845778,0.818042,0.013713,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
146,2190,70248.00,70.2480,0.865452,0.865452,0.852933,0.828830,0.011709,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
147,2205,70750.00,70.7500,0.865452,0.865452,0.844939,0.803793,0.020186,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
148,2220,71224.00,71.2240,0.865452,0.865452,0.847172,0.807143,0.015998,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
149,2235,71703.00,71.7030,0.865452,0.865452,0.844290,0.798895,0.019918,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
150,2250,72184.00,72.1840,0.865452,0.865452,0.843037,0.783367,0.023033,0.500000,0.950009,0.995569,0.999984,0.514404,0.804932
