# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,256
# generations_completed,150
# total_evaluations,2250
# runtime_s,78.454
# final_best_fitness,0.900307
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
67,1005,34980.00,34.9800,0.892561,0.892561,0.889010,0.871083,0.005272,0.150000,0.955153,0.997102,0.998878,0.646881,0.804932
68,1020,35508.00,35.5080,0.892578,0.892578,0.888834,0.872571,0.005218,0.150000,0.955355,0.997105,0.998733,0.647064,0.804932
69,1035,36030.00,36.0300,0.892578,0.892578,0.886425,0.865364,0.006957,0.150000,0.955355,0.997105,0.998733,0.647064,0.804932
70,1050,36551.00,36.5510,0.892578,0.892578,0.887686,0.872492,0.006406,0.150000,0.955355,0.997105,0.998733,0.647064,0.804932
71,1065,37075.00,37.0750,0.892974,0.892974,0.885596,0.857210,0.009580,0.150000,0.955365,0.997114,0.998601,0.649261,0.804932
72,1080,37600.00,37.6000,0.893845,0.893845,0.885966,0.862751,0.007983,0.150000,0.954667,0.997150,0.999703,0.655411,0.800629
73,1095,38132.00,38.1320,0.893845,0.893845,0.888924,0.872097,0.005634,0.150000,0.954667,0.997150,0.999703,0.655411,0.800629
74,1110,38657.00,38.6570,0.893845,0.893845,0.888866,0.879212,0.004813,0.150000,0.954667,0.997150,0.999703,0.655411,0.800629
75,1125,39179.00,39.1790,0.894218,0.894218,0.888239,0.871936,0.006055,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
76,1140,39709.00,39.7090,0.894218,0.894218,0.887195,0.866264,0.007735,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
77,1155,40227.00,40.2270,0.894218,0.894218,0.887617,0.857791,0.009205,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
78,1170,40743.00,40.7430,0.894218,0.894218,0.889454,0.879076,0.004120,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
79,1185,41270.00,41.2700,0.894218,0.894218,0.887339,0.853464,0.010444,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
80,1200,41795.00,41.7950,0.894218,0.894218,0.888228,0.867905,0.007065,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
